,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
0,-122.23,37.88,41,880,129.0,322,126,8.3252,NEAR BAY,452600
1,-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,NEAR BAY,358500
2,-122.24,37.85,52,1467,190.0,496,177,7.2574,NEAR BAY,352100
3,-122.25,37.85,52,1274,235.0,558,219,5.6431,NEAR BAY,341300
4,-122.25,37.85,52,1627,280.0,565,259,3.8462,NEAR BAY,342200
5,-122.25,37.85,52,919,213.0,413,193,4.0368,NEAR BAY,269700
6,-122.25,37.84,52,2535,489.0,1094,514,3.6591,NEAR BAY,299200
7,-122.25,37.84,52,3104,687.0,1157,647,3.12,NEAR BAY,241400
8,-122.26,37.84,42,2555,665.0,1206,595,2.0804,NEAR BAY,226700
9,-122.25,37.84,52,3549,707.0,1551,714,3.6912,NEAR BAY,261100
10,-122.26,37.85,52,2202,434.0,910,402,3.2031,NEAR BAY,281500
11,-122.26,37.85,52,3503,752.0,1504,734,3.2705,NEAR BAY,241800
12,-122.26,37.85,52,2491,474.0,1098,468,3.075,NEAR BAY,213500
13,-122.26,37.84,52,696,191.0,345,174,2.6736,NEAR BAY,191300
14,-122.26,37.85,52,2643,626.0,1212,620,1.9167,NEAR BAY,159200
15,-122.26,37.85,50,1120,283.0,697,264,2.125,NEAR BAY,140000
16,-122.27,37.85,52,1966,347.0,793,331,2.775,NEAR BAY,152500
17,-122.27,37.85,52,1228,293.0,648,303,2.1202,NEAR BAY,155500
18,-122.26,37.84,50,2239,455.0,990,419,1.9911,NEAR BAY,158700
19,-122.27,37.84,52,1503,298.0,690,275,2.6033,NEAR BAY,162900
20,-122.27,37.85,40,751,184.0,409,166,1.3578,NEAR BAY,147500
21,-122.27,37.85,42,1639,367.0,929,366,1.7135,NEAR BAY,159800
22,-122.27,37.84,52,2436,541.0,1015,478,1.725,NEAR BAY,113900
23,-122.27,37.84,52,1688,337.0,853,325,2.1806,NEAR BAY,99700
24,-122.27,37.84,52,2224,437.0,1006,422,2.6,NEAR BAY,132600
25,-122.28,37.85,41,535,123.0,317,119,2.4038,NEAR BAY,107500
26,-122.28,37.85,49,1130,244.0,607,239,2.4597,NEAR BAY,93800
27,-122.28,37.85,52,1898,421.0,1102,397,1.808,NEAR BAY,105500
28,-122.28,37.84,50,2082,492.0,1131,473,1.6424,NEAR BAY,108900
29,-122.28,37.84,52,729,160.0,395,155,1.6875,NEAR BAY,132000
30,-122.28,37.84,49,1916,447.0,863,378,1.9274,NEAR BAY,122300
31,-122.28,37.84,52,2153,481.0,1168,441,1.9615,NEAR BAY,115200
32,-122.27,37.84,48,1922,409.0,1026,335,1.7969,NEAR BAY,110400
33,-122.27,37.83,49,1655,366.0,754,329,1.375,NEAR BAY,104900
34,-122.27,37.83,51,2665,574.0,1258,536,2.7303,NEAR BAY,109700
35,-122.27,37.83,49,1215,282.0,570,264,1.4861,NEAR BAY,97200
36,-122.27,37.83,48,1798,432.0,987,374,1.0972,NEAR BAY,104500
37,-122.28,37.83,52,1511,390.0,901,403,1.4103,NEAR BAY,103900
38,-122.26,37.83,52,1470,330.0,689,309,3.48,NEAR BAY,191400
39,-122.26,37.83,52,2432,715.0,1377,696,2.5898,NEAR BAY,176000
40,-122.26,37.83,52,1665,419.0,946,395,2.0978,NEAR BAY,155400
41,-122.26,37.83,51,936,311.0,517,249,1.2852,NEAR BAY,150000
42,-122.26,37.84,49,713,202.0,462,189,1.025,NEAR BAY,118800
43,-122.26,37.84,52,950,202.0,467,198,3.9643,NEAR BAY,188800
44,-122.26,37.83,52,1443,311.0,660,292,3.0125,NEAR BAY,184400
45,-122.26,37.83,52,1656,420.0,718,382,2.6768,NEAR BAY,182300
46,-122.26,37.83,50,1125,322.0,616,304,2.026,NEAR BAY,142500
47,-122.27,37.82,43,1007,312.0,558,253,1.7348,NEAR BAY,137500
48,-122.26,37.82,40,624,195.0,423,160,0.9506,NEAR BAY,187500
49,-122.27,37.82,40,946,375.0,700,352,1.775,NEAR BAY,112500
50,-122.27,37.82,21,896,453.0,735,438,0.9218,NEAR BAY,171900
51,-122.27,37.82,43,1868,456.0,1061,407,1.5045,NEAR BAY,93800
52,-122.27,37.82,41,3221,853.0,1959,720,1.1108,NEAR BAY,97500
53,-122.27,37.82,52,1630,456.0,1162,400,1.2475,NEAR BAY,104200
54,-122.28,37.82,52,1170,235.0,701,233,1.6098,NEAR BAY,87500
55,-122.28,37.82,52,945,243.0,576,220,1.4113,NEAR BAY,83100
56,-122.28,37.82,52,1238,288.0,622,259,1.5057,NEAR BAY,87500
57,-122.28,37.82,52,1489,335.0,728,244,0.8172,NEAR BAY,85300
58,-122.28,37.82,52,1387,341.0,1074,304,1.2171,NEAR BAY,80300
59,-122.29,37.82,2,158,43.0,94,57,2.5625,NEAR BAY,60000
60,-122.29,37.83,52,1121,211.0,554,187,3.3929,NEAR BAY,75700
61,-122.29,37.82,49,135,29.0,86,23,6.1183,NEAR BAY,75000
62,-122.29,37.81,50,760,190.0,377,122,0.9011,NEAR BAY,86100
63,-122.3,37.81,52,1224,237.0,521,159,1.191,NEAR BAY,76100
64,-122.3,37.81,48,828,182.0,392,133,2.5938,NEAR BAY,73500
65,-122.3,37.81,52,1010,209.0,604,187,1.1667,NEAR BAY,78400
66,-122.3,37.81,48,1455,354.0,788,332,0.8056,NEAR BAY,84400
67,-122.29,37.8,52,1027,244.0,492,147,2.6094,NEAR BAY,81300
68,-122.3,37.81,52,572,109.0,274,82,1.8516,NEAR BAY,85000
69,-122.29,37.81,46,2801,644.0,1823,611,0.9802,NEAR BAY,129200
70,-122.29,37.81,26,768,152.0,392,127,1.7719,NEAR BAY,82500
71,-122.29,37.81,46,935,297.0,582,277,0.7286,NEAR BAY,95200
72,-122.29,37.81,49,844,204.0,560,152,1.75,NEAR BAY,75000
73,-122.29,37.81,46,12,4.0,18,7,0.4999,NEAR BAY,67500
74,-122.29,37.81,20,835,161.0,290,133,2.483,NEAR BAY,137500
75,-122.28,37.81,17,1237,462.0,762,439,0.9241,NEAR BAY,177500
76,-122.28,37.81,36,2914,562.0,1236,509,2.4464,NEAR BAY,102100
